Epoch: [114][0/97], lr: 0.01000	Time 10.845 (10.845)	Data 9.842 (9.842)	Loss 2.5187 (2.5187)	Prec@1 97.656 (97.656)	Prec@5 99.219 (99.219)
Epoch: [115][0/97], lr: 0.01000	Time 11.757 (11.757)	Data 10.900 (10.900)	Loss 2.4310 (2.4310)	Prec@1 96.875 (96.875)	Prec@5 99.219 (99.219)
Epoch: [116][0/97], lr: 0.01000	Time 11.004 (11.004)	Data 10.082 (10.082)	Loss 2.4678 (2.4678)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [117][0/97], lr: 0.01000	Time 11.005 (11.005)	Data 10.117 (10.117)	Loss 2.4764 (2.4764)	Prec@1 96.094 (96.094)	Prec@5 100.000 (100.000)
Epoch: [118][0/97], lr: 0.01000	Time 12.607 (12.607)	Data 10.790 (10.790)	Loss 2.4275 (2.4275)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [119][0/97], lr: 0.01000	Time 11.753 (11.753)	Data 10.797 (10.797)	Loss 2.4328 (2.4328)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [120][0/97], lr: 0.01000	Time 12.047 (12.047)	Data 11.108 (11.108)	Loss 2.5298 (2.5298)	Prec@1 94.531 (94.531)	Prec@5 96.875 (96.875)
Epoch: [121][0/97], lr: 0.01000	Time 11.854 (11.854)	Data 11.043 (11.043)	Loss 2.4943 (2.4943)	Prec@1 91.406 (91.406)	Prec@5 98.438 (98.438)
Epoch: [122][0/97], lr: 0.01000	Time 12.480 (12.480)	Data 11.486 (11.486)	Loss 2.3983 (2.3983)	Prec@1 99.219 (99.219)	Prec@5 100.000 (100.000)
Epoch: [123][0/97], lr: 0.01000	Time 13.310 (13.310)	Data 12.467 (12.467)	Loss 2.4383 (2.4383)	Prec@1 96.875 (96.875)	Prec@5 99.219 (99.219)
Epoch: [124][0/97], lr: 0.01000	Time 14.057 (14.057)	Data 12.802 (12.802)	Loss 2.4909 (2.4909)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [125][0/97], lr: 0.01000	Time 13.037 (13.037)	Data 12.006 (12.006)	Loss 2.4267 (2.4267)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [126][0/97], lr: 0.01000	Time 14.019 (14.019)	Data 12.891 (12.891)	Loss 2.4109 (2.4109)	Prec@1 97.656 (97.656)	Prec@5 99.219 (99.219)
Epoch: [127][0/97], lr: 0.01000	Time 13.554 (13.554)	Data 12.545 (12.545)	Loss 2.3810 (2.3810)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [128][0/97], lr: 0.01000	Time 13.299 (13.299)	Data 12.284 (12.284)	Loss 2.5253 (2.5253)	Prec@1 96.875 (96.875)	Prec@5 98.438 (98.438)
Epoch: [129][0/97], lr: 0.01000	Time 11.447 (11.447)	Data 10.343 (10.343)	Loss 2.3863 (2.3863)	Prec@1 97.656 (97.656)	Prec@5 100.000 (100.000)
Epoch: [130][0/97], lr: 0.01000	Time 11.890 (11.890)	Data 10.875 (10.875)	Loss 2.3955 (2.3955)	Prec@1 98.438 (98.438)	Prec@5 100.000 (100.000)
Epoch: [131][0/97], lr: 0.01000	Time 12.353 (12.353)	Data 10.982 (10.982)	Loss 2.4687 (2.4687)	Prec@1 96.094 (96.094)	Prec@5 98.438 (98.438)
